observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]","[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]",0,0,3,2042,0
"[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]","[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]",0.03333333333333333,1,3,2043,0
"[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]","[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]",0.06666666666666667,2,3,2044,0
"[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]","[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]",0.1,3,3,2045,0
"[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]","[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]",0.13333333333333333,4,3,2046,0
"[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]","[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]",0.16666666666666666,5,3,2047,0
"[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]","[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]",0.19999999999999998,6,3,2048,0
"[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]","[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]",0.2333333333333333,7,3,2049,0
"[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]","[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]",0.26666666666666666,8,3,2050,0
"[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]","[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]",0.3,9,3,2051,0
"[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]","[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]",0.3333333333333333,10,3,2052,0
"[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]","[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]",0.36666666666666664,11,3,2053,0
"[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]","[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]",0.39999999999999997,12,3,2054,0
"[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]","[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]",0.4333333333333333,13,3,2055,0
"[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]","[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]",0.4666666666666666,14,3,2056,0
"[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]","[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]",0.49999999999999994,15,3,2057,0
"[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]","[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]",0.5333333333333333,16,3,2058,0
"[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]","[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]",0.5666666666666667,17,3,2059,0
"[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]","[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]",0.6,18,3,2060,0
"[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]","[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]",0.6333333333333333,19,3,2061,0
"[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]","[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]",0.6666666666666666,20,3,2062,0
"[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]","[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]",0.7,21,3,2063,0
"[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]","[61.51, -15.9, 93.89, 117.9, -96.45, 172.47, 1.0, 1.0, 0.0]",0.7333333333333333,22,3,2064,0
