observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[165.71, 38.92, 103.09, 33.6, -14.96, 175.65, 1.0, 0.0, 0.0]","[165.71, 38.92, 103.09, 33.6, -14.96, 175.65, 1.0, 0.0, 0.0]",0,0,2,2593,0
"[165.71, 38.92, 103.09, 33.6, -14.96, 175.65, 1.0, 0.0, 0.0]","[165.71, 38.92, 103.09, 33.6, -14.96, 175.65, 1.0, 0.0, 0.0]",0.03333333333333333,1,2,2594,0
"[165.71, 38.92, 103.09, 33.6, -14.96, 175.65, 1.0, 0.0, 0.0]","[165.71, 38.92, 103.09, 33.6, -14.96, 175.65, 1.0, 0.0, 0.0]",0.06666666666666667,2,2,2595,0
"[165.71, 38.92, 103.09, 33.6, -14.96, 175.65, 1.0, 0.0, 0.0]","[165.71, 38.92, 103.09, 33.6, -14.96, 175.65, 1.0, 0.0, 0.0]",0.1,3,2,2596,0
"[165.71, 38.92, 103.09, 33.6, -14.96, 175.65, 1.0, 0.0, 0.0]","[165.71, 38.92, 103.09, 33.6, -14.96, 175.65, 1.0, 0.0, 0.0]",0.13333333333333333,4,2,2597,0
"[165.71, 38.92, 103.09, 33.6, -14.96, 175.65, 1.0, 0.0, 0.0]","[165.71, 38.92, 103.09, 33.6, -14.96, 175.65, 1.0, 0.0, 0.0]",0.16666666666666666,5,2,2598,0
"[165.71, 38.92, 103.09, 33.6, -14.96, 175.65, 1.0, 0.0, 0.0]","[165.71, 38.92, 103.09, 33.6, -14.96, 175.65, 1.0, 0.0, 0.0]",0.19999999999999998,6,2,2599,0
"[165.71, 38.92, 103.09, 33.6, -14.96, 175.65, 1.0, 0.0, 0.0]","[165.71, 38.92, 103.09, 33.6, -14.96, 175.65, 1.0, 0.0, 0.0]",0.2333333333333333,7,2,2600,0
"[165.71, 38.92, 103.09, 33.6, -14.96, 175.65, 1.0, 0.0, 0.0]","[165.71, 38.92, 103.09, 33.6, -14.96, 175.65, 1.0, 0.0, 0.0]",0.26666666666666666,8,2,2601,0
"[165.71, 38.92, 103.09, 33.6, -14.96, 175.65, 1.0, 0.0, 0.0]","[165.71, 38.92, 103.09, 33.6, -14.96, 175.65, 1.0, 0.0, 0.0]",0.3,9,2,2602,0
