observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]",4.59999999999999,138,0,12213,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]","[95.0, -42.81, 116.83, 114.58, -71.25, 184.24, 1.0, 0.0, 0.0]",4.63333333333333,139,0,12214,0
"[95.0, -42.81, 116.83, 114.58, -71.25, 184.24, 1.0, 0.0, 0.0]","[95.0, -42.68, 116.79, 114.58, -71.33, 183.9, 1.0, 0.0, 0.0]",4.66666666666666,140,0,12215,0
"[95.0, -42.68, 116.79, 114.58, -71.33, 183.9, 1.0, 0.0, 0.0]","[95.0, -42.13, 116.62, 114.59, -71.63, 182.65, 1.0, 0.0, 0.0]",4.69999999999999,141,0,12216,0
"[95.0, -42.13, 116.62, 114.59, -71.63, 182.65, 1.0, 0.0, 0.0]","[95.0, -41.35, 116.41, 114.6, -72.03, 181.02, 1.0, 0.0, 0.0]",4.73333333333333,142,0,12217,0
"[95.0, -41.35, 116.41, 114.6, -72.03, 181.02, 1.0, 0.0, 0.0]","[95.0, -40.33, 116.13, 114.61, -72.55, 178.89, 1.0, 0.0, 0.0]",4.76666666666666,143,0,12218,0
"[95.0, -40.33, 116.13, 114.61, -72.55, 178.89, 1.0, 0.0, 0.0]","[94.99, -39.16, 115.81, 114.62, -73.15, 176.42, 1.0, 0.0, 0.0]",4.79999999999999,144,0,12219,0
"[94.99, -39.16, 115.81, 114.62, -73.15, 176.42, 1.0, 0.0, 0.0]","[94.99, -38.34, 115.58, 114.63, -73.57, 174.69, 1.0, 0.0, 0.0]",4.83333333333333,145,0,12220,0
"[94.99, -38.34, 115.58, 114.63, -73.57, 174.69, 1.0, 0.0, 0.0]","[94.99, -37.55, 115.36, 114.64, -73.98, 173.0, 1.0, 0.0, 0.0]",4.86666666666666,146,0,12221,0
"[94.99, -37.55, 115.36, 114.64, -73.98, 173.0, 1.0, 0.0, 0.0]","[94.99, -35.96, 114.91, 114.66, -74.8, 169.63, 1.0, 0.0, 0.0]",4.89999999999999,147,0,12222,0
"[94.99, -35.96, 114.91, 114.66, -74.8, 169.63, 1.0, 0.0, 0.0]","[94.99, -33.97, 114.35, 114.68, -75.83, 165.39, 1.0, 0.0, 0.0]",4.93333333333333,148,0,12223,0
"[94.99, -33.97, 114.35, 114.68, -75.83, 165.39, 1.0, 0.0, 0.0]","[94.99, -33.15, 114.12, 114.69, -76.26, 163.65, 1.0, 0.0, 0.0]",4.96666666666666,149,0,12224,0
